Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Pollution Index,Climate Index
Chile,107.3,52.2,39.5,63.5,35.1,77.5,90.2
Pakistan,104.2,30.9,56.3,59.3,17.8,73.3,71.9
Czech Republic,174.8,91.1,73.5,75.5,42.6,34.6,80.1
Norway,195.0,122.7,67.0,75.6,69.0,18.3,68.5
Armenia,119.7,38.8,77.9,59.0,39.6,62.3,63.4
Hungary,144.6,72.4,66.3,54.3,36.6,46.5,78.7
Israel,163.6,113.3,68.2,73.2,65.2,56.8,93.8
South Korea,147.7,107.2,75.1,82.8,56.5,60.9,68.4
Bangladesh,73.9,35.9,38.4,42.2,20.9,85.4,71.3
Malaysia,135.8,85.6,51.1,70.3,29.7,61.0,56.6
